"","Fecha","Precio"
"1108",2017-09-28,4197.129883
"1109",2017-09-29,4171.620117
"1110",2017-09-30,4166.109863
"1111",2017-10-01,4341.049805
"1112",2017-10-02,4395.810059
"1113",2017-10-03,4408.459961
"1114",2017-10-04,4319.370117
"1115",2017-10-05,4229.879883
"1116",2017-10-06,4324.459961
"1117",2017-10-07,4369.350098
"1118",2017-10-08,4429.669922
"1119",2017-10-09,4614.52002
"1120",2017-10-10,4776.209961
"1121",2017-10-11,4789.25
"1122",2017-10-12,4829.580078
"1123",2017-10-13,5464.160156
"1124",2017-10-14,5643.529785
"1125",2017-10-15,5835.959961
"1126",2017-10-16,5687.569824
"1127",2017-10-17,5741.580078
"1128",2017-10-18,5603.819824
"1129",2017-10-19,5583.740234
"1130",2017-10-20,5708.109863
"1131",2017-10-21,5996.790039
"1132",2017-10-22,6036.660156
"1133",2017-10-23,6006
"1134",2017-10-24,5935.52002
"1135",2017-10-25,5524.600098
"1136",2017-10-26,5747.950195
"1137",2017-10-27,5899.740234
"1138",2017-10-28,5787.819824
"1139",2017-10-29,5754.439941
"1140",2017-10-30,6114.850098
"1141",2017-10-31,6132.02002
"1142",2017-11-01,6440.970215
"1143",2017-11-02,6777.77002
"1144",2017-11-03,7087.529785
"1145",2017-11-04,7164.47998
"1146",2017-11-05,7404.52002
"1147",2017-11-06,7403.220215
"1148",2017-11-07,7023.100098
"1149",2017-11-08,7141.379883
"1150",2017-11-09,7446.830078
"1151",2017-11-10,7173.72998
"1152",2017-11-11,6618.609863
"1153",2017-11-12,6295.450195
"1154",2017-11-13,5938.25
"1155",2017-11-14,6561.47998
"1156",2017-11-15,6634.759766
"1157",2017-11-16,7323.240234
"1158",2017-11-17,7853.569824
"1159",2017-11-18,7697.209961
"1160",2017-11-19,7766.029785
"1161",2017-11-20,8039.069824
"1162",2017-11-21,8205.740234
"1163",2017-11-22,8077.950195
"1164",2017-11-23,8232.379883
"1165",2017-11-24,8074.02002
"1166",2017-11-25,8241.709961
"1167",2017-11-26,8789.040039
"1168",2017-11-27,9352.719727
"1169",2017-11-28,9823.429688
"1170",2017-11-29,10077.400391
"1171",2017-11-30,9906.790039
"1172",2017-12-01,10198.599609
"1173",2017-12-02,10978.299805
"1174",2017-12-03,11082.700195
"1175",2017-12-04,11315.400391
"1176",2017-12-05,11685.700195
"1177",2017-12-06,11923.400391
"1178",2017-12-07,14266.099609
"1179",2017-12-08,17802.900391
"1180",2017-12-09,16523.300781
"1181",2017-12-10,15168.400391
"1182",2017-12-11,15427.400391
"1183",2017-12-12,16919.800781
"1184",2017-12-13,17500
"1185",2017-12-14,16384.599609
"1186",2017-12-15,16601.300781
"1187",2017-12-16,17760.300781
"1188",2017-12-17,19475.800781
"1189",2017-12-18,19106.400391
"1190",2017-12-19,19118.300781
"1191",2017-12-20,17760.300781
"1192",2017-12-21,16642.400391
"1193",2017-12-22,15898
"1194",2017-12-23,13948.700195
"1195",2017-12-24,14608.200195
"1196",2017-12-25,13995.900391
"1197",2017-12-26,14036.599609
"1198",2017-12-27,16163.5
"1199",2017-12-28,15864.099609
"1200",2017-12-29,14695.799805
"1201",2017-12-30,14681.900391
"1202",2017-12-31,12897.700195
"1203",2018-01-01,14112.200195
"1204",2018-01-02,13625
"1205",2018-01-03,14978.200195
"1206",2018-01-04,15270.700195
"1207",2018-01-05,15477.200195
"1208",2018-01-06,17462.099609
"1209",2018-01-07,17527.300781
"1210",2018-01-08,16476.199219
"1211",2018-01-09,15123.700195
"1212",2018-01-10,14588.5
"1213",2018-01-11,14968.200195
"1214",2018-01-12,13453.900391
"1215",2018-01-13,13952.400391
"1216",2018-01-14,14370.799805
"1217",2018-01-15,13767.299805
"1218",2018-01-16,13836.099609
"1219",2018-01-17,11431.099609
"1220",2018-01-18,11198.799805
"1221",2018-01-19,11429.799805
"1222",2018-01-20,11656.200195
"1223",2018-01-21,12889.200195
"1224",2018-01-22,11633.099609
"1225",2018-01-23,10944.5
"1226",2018-01-24,10903.400391
"1227",2018-01-25,11421.700195
"1228",2018-01-26,11256
"1229",2018-01-27,11174.900391
"1230",2018-01-28,11475.299805
"1231",2018-01-29,11755.5
"1232",2018-01-30,11306.799805
"1233",2018-01-31,10108.200195
"1234",2018-02-01,10237.299805
"1235",2018-02-02,9142.280273
"1236",2018-02-03,8852.120117
"1237",2018-02-04,9175.700195
"1238",2018-02-05,8270.540039
"1239",2018-02-06,7051.75
"1240",2018-02-07,7755.490234
"1241",2018-02-08,7637.859863
"1242",2018-02-09,8271.839844
"1243",2018-02-10,8720.080078
"1244",2018-02-11,8616.129883
"1245",2018-02-12,8141.430176
"1246",2018-02-13,8926.719727
"1247",2018-02-14,8599.919922
"1248",2018-02-15,9488.320313
"1249",2018-02-16,10135.700195
"1250",2018-02-17,10207.5
"1251",2018-02-18,11123.400391
"1252",2018-02-19,10552.599609
"1253",2018-02-20,11231.799805
"1254",2018-02-21,11372.200195
"1255",2018-02-22,10660.400391
"1256",2018-02-23,9937.070313
"1257",2018-02-24,10287.700195
"1258",2018-02-25,9796.419922
"1259",2018-02-26,9669.429688
"1260",2018-02-27,10393.900391
"1261",2018-02-28,10687.200195
"1262",2018-03-01,10385
"1263",2018-03-02,10977.400391
"1264",2018-03-03,11101.900391
"1265",2018-03-04,11497.400391
"1266",2018-03-05,11532.400391
"1267",2018-03-06,11500.099609
"1268",2018-03-07,10803.900391
"1269",2018-03-08,9951.44043
"1270",2018-03-09,9414.69043
"1271",2018-03-10,9350.589844
"1272",2018-03-11,8852.780273
"1273",2018-03-12,9602.929688
"1274",2018-03-13,9173.040039
"1275",2018-03-14,9214.650391
"1276",2018-03-15,8290.759766
"1277",2018-03-16,8322.910156
"1278",2018-03-17,8321.910156
"1279",2018-03-18,7890.52002
"1280",2018-03-19,8344.120117
"1281",2018-03-20,8619.669922
"1282",2018-03-21,8937.480469
"1283",2018-03-22,8939.44043
"1284",2018-03-23,8736.25
"1285",2018-03-24,8901.950195
"1286",2018-03-25,8612.80957
"1287",2018-03-26,8498.469727
"1288",2018-03-27,8200
"1289",2018-03-28,7836.830078
"1290",2018-03-29,7979.069824
"1291",2018-03-30,7171.450195
"1292",2018-03-31,6892.47998
"1293",2018-04-01,7003.060059
"1294",2018-04-02,6844.859863
"1295",2018-04-03,7102.259766
"1296",2018-04-04,7456.410156
"1297",2018-04-05,6848.649902
"1298",2018-04-06,6815.959961
"1299",2018-04-07,6630.509766
"1300",2018-04-08,6919.97998
"1301",2018-04-09,7044.319824
"1302",2018-04-10,6795.439941
"1303",2018-04-11,6843.470215
"1304",2018-04-12,6955.379883
"1305",2018-04-13,7901.089844
"1306",2018-04-14,7874.669922
"1307",2018-04-15,7999.330078
"1308",2018-04-16,8337.570313
"1309",2018-04-17,8071.660156
