"","Fecha","Precio"
"187",2015-03-22,267.959991
"188",2015-03-23,266.73999
"189",2015-03-24,245.595001
"190",2015-03-25,246.197006
"191",2015-03-26,248.531998
"192",2015-03-27,247.029007
"193",2015-03-28,252.798004
"194",2015-03-29,242.712997
"195",2015-03-30,247.526001
"196",2015-03-31,244.223999
"197",2015-04-01,247.272003
"198",2015-04-02,253.005005
"199",2015-04-03,254.322006
"200",2015-04-04,253.697006
"201",2015-04-05,260.597992
"202",2015-04-06,255.492004
"203",2015-04-07,253.179993
"204",2015-04-08,245.022003
"205",2015-04-09,243.675995
"206",2015-04-10,236.072006
"207",2015-04-11,236.552002
"208",2015-04-12,236.153
"209",2015-04-13,224.587006
"210",2015-04-14,219.158997
"211",2015-04-15,223.832993
"212",2015-04-16,228.572998
"213",2015-04-17,222.882004
"214",2015-04-18,223.356003
"215",2015-04-19,222.600006
"216",2015-04-20,224.626007
"217",2015-04-21,235.268997
"218",2015-04-22,234.175995
"219",2015-04-23,236.462006
"220",2015-04-24,231.268005
"221",2015-04-25,226.389999
"222",2015-04-26,219.429993
"223",2015-04-27,229.285995
"224",2015-04-28,225.854996
"225",2015-04-29,225.807999
"226",2015-04-30,236.145004
"227",2015-05-01,232.078995
"228",2015-05-02,234.929993
"229",2015-05-03,240.358002
"230",2015-05-04,239.018005
"231",2015-05-05,236.121002
"232",2015-05-06,229.781998
"233",2015-05-07,237.334
"234",2015-05-08,243.863007
"235",2015-05-09,241.832001
"236",2015-05-10,240.296005
"237",2015-05-11,242.158005
"238",2015-05-12,241.112
"239",2015-05-13,236.376999
"240",2015-05-14,236.929001
"241",2015-05-15,237.604996
"242",2015-05-16,236.153
"243",2015-05-17,236.802002
"244",2015-05-18,233.128006
"245",2015-05-19,231.947006
"246",2015-05-20,234.018005
"247",2015-05-21,235.343994
"248",2015-05-22,240.348007
"249",2015-05-23,238.871994
"250",2015-05-24,240.953003
"251",2015-05-25,237.110001
"252",2015-05-26,237.115997
"253",2015-05-27,237.283005
"254",2015-05-28,237.408005
"255",2015-05-29,237.095993
"256",2015-05-30,233.345001
"257",2015-05-31,230.190002
"258",2015-06-01,222.925995
"259",2015-06-02,225.802994
"260",2015-06-03,225.873993
"261",2015-06-04,224.324005
"262",2015-06-05,224.951996
"263",2015-06-06,225.619003
"264",2015-06-07,222.880997
"265",2015-06-08,228.488998
"266",2015-06-09,229.048004
"267",2015-06-10,228.802994
"268",2015-06-11,229.705002
"269",2015-06-12,229.981995
"270",2015-06-13,232.401993
"271",2015-06-14,233.542999
"272",2015-06-15,236.822998
"273",2015-06-16,250.895004
"274",2015-06-17,249.283997
"275",2015-06-18,249.007004
"276",2015-06-19,244.606003
"277",2015-06-20,245.212006
"278",2015-06-21,243.944
"279",2015-06-22,246.990005
